Station Name,Lines Served,Valid for Colours,Borough
4 Av-9 St,"F, G, R","Black, Orange (Stripe), Yellow (Stripe)",Brooklyn
40 St-Lowery St,7,"Purple (Solid), Purple (Stripe)",Queens
42 St-Bryant Pk,"B, D, F, M","Orange (Solid), Orange (Stripe)",Manhattan
42 St-Port Authority Bus Terminal,"A, C, E","Blue (Solid), Blue (Stripe)",Manhattan
45 St,R,Yellow (Stripe),Brooklyn
46 St,"M, R","Orange (Stripe), Yellow (Stripe)",Queens
46 St-Bliss St,7,"Purple (Solid), Purple (Stripe)",Queens
47-50 Sts-Rockefeller Ctr,"B, D, F, M","Orange (Solid), Orange (Stripe)",Manhattan
49 St,"N, R, W","Yellow (Solid), Yellow (Stripe)",Manhattan
5 Av,7,"Purple (Solid), Purple (Stripe)",Manhattan
5 Av/53 St,"E, F","Blue (Stripe), Orange (Stripe)",Manhattan
5 Av/59 St,"N, R, W","Yellow (Solid), Yellow (Stripe)",Manhattan
50 St,"1, C, D, E","Blue (Stripe), Orange (Solid), Red (Solid)",Manhattan
51 St,6,Green (Stripe),Manhattan
52 St,7,"Purple (Solid), Purple (Stripe)",Queens
53 St,R,Yellow (Stripe),Brooklyn
55 St,D,Orange (Solid),Brooklyn
57 St,M,Orange (Stripe),Manhattan
57 St-7 Av,"N, Q, R, W","Yellow (Solid), Yellow (Stripe)",Manhattan
59 St,"4, 5, 6, N, R","Green (Solid), Green (Stripe), Yellow (Solid), Yellow (Stripe)",Manhattan
59 St-Columbus Circle,"1, A, B, C, D","Blue (Solid), Blue (Stripe), Orange (Solid), Red (Solid)",Manhattan
6 Av,L,Black,Manhattan
61 St-Woodside,7,"Purple (Solid), Purple (Stripe)",Queens
62 St,D,Orange (Solid),Brooklyn
63 Dr-Rego Park,"M, R","Orange (Stripe), Yellow (Stripe)",Queens
65 St,"M, R","Orange (Stripe), Yellow (Stripe)",Queens
66 St-Lincoln Center,1,Red (Solid),Manhattan
67 Av,"M, R","Orange (Stripe), Yellow (Stripe)",Queens
68 St-Hunter College,6,Green (Stripe),Manhattan
69 St,7,"Purple (Solid), Purple (Stripe)",Queens
7 Av,"B, D, E, F, G, Q","Black, Blue (Stripe), Orange (Solid), Orange (Stripe), Yellow (Solid)",Manhattan
71 St,D,Orange (Solid),Brooklyn
72 St,"1, 2, 3, B, C, Q","Blue (Stripe), Orange (Solid), Red (Solid), Red (Stripe), Yellow (Solid)",Manhattan
74 St-Broadway,7,"Purple (Solid), Purple (Stripe)",Queens
75 Av,"E, F","Blue (Stripe), Orange (Stripe)",Queens
75 St-Elderts Ln,"J, Z","Brown (Solid), Brown (Stripe)",Queens
77 St,"6, R","Green (Stripe), Yellow (Stripe)",Brooklyn
79 St,"1, D","Orange (Solid), Red (Solid)",Brooklyn
8 Av,"L, N","Black, Yellow (Solid)",Brooklyn
8 St-NYU,"R, W",Yellow (Stripe),Manhattan
80 St,A,Blue (Solid),Queens
81 St-Museum of Natural History,"B, C","Blue (Stripe), Orange (Solid)",Manhattan
82 St-Jackson Hts,7,"Purple (Solid), Purple (Stripe)",Queens
85 St-Forest Pkwy,J,Brown (Solid),Queens
86 St,"1, 4, 5, 6, B, C, N, Q, R","Blue (Stripe), Green (Solid), Green (Stripe), Orange (Solid), Red (Solid), Yellow (Solid), Yellow (Stripe)",Manhattan
88 St,A,Blue (Solid),Queens
9 Av,D,Orange (Solid),Brooklyn
90 St-Elmhurst Av,7,"Purple (Solid), Purple (Stripe)",Queens
96 St,"1, 2, 3, 6, B, C, Q","Blue (Stripe), Green (Stripe), Orange (Solid), Red (Solid), Red (Stripe), Yellow (Solid)",Manhattan
Alabama Av,"J, Z","Brown (Solid), Brown (Stripe)",Brooklyn
Allerton Av,"2, 5","Green (Stripe), Red (Solid)",Bronx
Annadale,SIR,Wildcard,Staten Island
Aqueduct Racetrack,A,Blue (Solid),Queens
Aqueduct-N Conduit Av,A,Blue (Solid),Queens
Arthur Kill,SIR,Wildcard,Staten Island
Astor Pl,6,Green (Stripe),Manhattan
Astoria Blvd,"N, W","Yellow (Solid), Yellow (Stripe)",Queens
Astoria-Ditmars Blvd,"N, W","Yellow (Solid), Yellow (Stripe)",Queens
Atlantic Av,L,Black,Brooklyn
Atlantic Av-Barclays Ctr,"2, 3, 4, 5, B, D, N, Q, R","Green (Solid), Green (Stripe), Orange (Solid), Red (Solid), Red (Stripe), Yellow (Solid), Yellow (Stripe)",Brooklyn
Avenue H,Q,Yellow (Solid),Brooklyn
Avenue I,F,Orange (Stripe),Brooklyn
Avenue J,Q,Yellow (Solid),Brooklyn
Avenue M,Q,Yellow (Solid),Brooklyn
Avenue N,F,Orange (Stripe),Brooklyn
Avenue P,F,Orange (Stripe),Brooklyn
Avenue U,"F, N, Q","Orange (Stripe), Yellow (Solid)",Brooklyn
Avenue X,F,Orange (Stripe),Brooklyn
Bay 50 St,D,Orange (Solid),Brooklyn
Bay Pkwy,"D, F, N","Orange (Solid), Orange (Stripe), Yellow (Solid)",Brooklyn
Bay Ridge Av,R,Yellow (Stripe),Brooklyn
